name,ratings,date,helpful,comment,developer_comment
못 배운 외동코기홍태풍,1,2020-04-18,60,진짜 그지같아 못해먹겠네 카드등록 한번 친구꺼로 잘못했다가 아예 명의가 바뀌어서 내 계정인데 아무것도 내 명의로 할 수가 없다. 상담 연결해도 명의변경 안된다곸ㅋㅋㅋㅋㅋㅋ 싯팔 뭐하자는거야,
박영자,5,2020-09-03,2,신속배달.좋은 물건.식자재.굿~~,
은서_eunseo,5,2020-04-28,12,진짜 좋아요!!! 6개월.....? 그정도 사용 중인데 진짜 원하는 상품 가격대별로 다 찾아볼수 있고 ....쨋든 진짜 좋아용!!!,
O mines213,1,2020-06-02,35,배송비 내고 살려는데 갑자기 요금 채우거나 정기결제 해야되는식으로 바뀌었네요;; 여태까지 잘 써왔는데 이렇게 되니까 살려던 거도 못 사고 이제 다른 업체로 가보렵니다,
[Ddoongchae] 뚱채,4,2020-05-04,9,다 좋은데 요즘 너무 과대포장으로 들어와서 뜯기가 너무 힘들어요 분리수거 하는데 ㅜㅠ 그것 좀 바꿔주세요.,
이유진,4,2020-05-05,6,구매후기 검색 기능 다시 살려주시면 좋겠습니다. 매번 pc모드로 들어가서 검색하니 너무 불편해요.,
훈제연어,5,2020-05-29,76,광고메일과 수신동의와 관계없이 구매내역 메일이 오는데 앱에서 처리도 안되고 고객센터에서도 메일수신거부로 보여져서 해줄것이 없답니다 좀 고쳐줘요,
색칠공부파트너,1,2020-06-16,48,잠금해제하는데 간헐적으로 저절로 앱실행되고 무슨 창 뜨고. 지워버립니다. 말단 직원들 막대하고. 이 기업도 오래는 못가겠네요,
HOPE이정우,1,2020-09-27,0,택배시키면 도착날짜가 지나도 물건이 안옵니다 한번이아니니 글올려요 쿠팡사람들이 일은하는지 의문이들정도입니다,
정경미,2,2020-06-23,49,로켓배송도 좋지만 택배기사님들 너무 힘들게는 하지 마세요... 사람이 하는 일입니다... 일하고 싶은 환경을 만들어 놓고 일을 시키세요. 생각보다 쿠팡 고객분들은 로켓배송을 기사님들 힘들게 하면서까진 바라지 않아요. 일단 제 주변 사람들은 그렇더라구요.저도 그렇구요.,
우명희,3,2020-05-09,7,쿠팡에 들어가서 제 폰기종이 LG Q9인데 보니까 계속계속 내려보니까 투명케이스 하나밖에 없더라고요..;; 그래서 디자인 쫌 더 많이 올려줬으면 합니다...😫😖😟,
초딩라운드,1,2020-05-12,112,5월11일에 오는게. 5월13일에옴. 그것만보고 열심히 달렸는데 이게뭐야 전화도 안받네. 진짜 이건 꼭 고쳐야되는 문제점 진짜너무 짜증나네,
TV삐용이,5,2020-07-20,1,"울엄마가쿠팡하는데완전편리하고,이쁘고,빨리와요.!",
