name,ratings,date,title,comment
hellofin,3,2016-03-17,컬리마켓!!,앱 설치 후 내 돈을 받아!!!모드로 잘쓰고있습니다 컬리 서비스는 참 좋은데 어플은.... 좀 느려서 ㅜㅜ 좀더 안정화되면 더 즐겁게 어플 쓸수있을거같아요!!
vegezoozoo,4,2016-03-22,틈틈히 자주,지역 확대되면서 홈이 다소 불안정해서  앱 설치해봤어요. 앱도 초기라.. 차차 좋아지겠죠? 마켓컬리니까 믿어요. 앱 자주 이용하게될것같아요.~~^^
바이그리고,5,2016-04-08,이런곳 하나는 있어줘야한단 말입니다,보기만 해도 행복한 음식을 한그릇 잘 담아두셨네요!! 곧 구매하길 기대합니다 ㅋ
hand5403,5,2016-04-09,배송도빠르고,서울이외지역임에도
헉헉ㅋ,5,2016-04-18,재료는신선 배달은신속정확,앱가입하고 한번 구매해보고 앞으로도 꾸준히 이용하고싶은 생각이 저절로 들게되네요^^
ajrjwlskkdkd,2,2016-04-25,너무 버벅거려요 ㅠ,마켓컬리 너무 사랑하고 애용하는 애용자인데요...진짜 앱이 너무 버벅거리고 오류도 자주나서 빨리 수정되었으면 좋겠어요. 앱으로 주문 많이 하는데 얼른 안정화를 찾았으면 좋겠습니다. 그냥 멈춰버리거나 화면히 하얗게 되어서 작동하지 않을때가 너무 많아요;;
이런내가,4,2017-08-30,앱 사용성 개선 필요,뒤로가기를 누르면 바로전에 보던 화면으로 가는게 아니라 바로전 화면의 맨 위로 감... 수십개의 상품을 내리면서 보고 있는데 이런식이면 아래쪽에 있는 상품은 보기가 힘들죠
돌돌돌돌공공공,5,2016-03-02,조아요,모바일로 이용할때 앱이 있으면 좋겠다고 생각했는데 드디어 나왔네요
마켓컬리 러버,5,2016-03-02,앱 출시 축하,성장하고 편리해지는 서비스에 늘 감동입니다 주변 지인에게 엄청 소문내고있어요 번창하세요~
longs12,5,2016-03-02,마켓컬리 앱 좋아요!!!,평소에 자주 이용하는데 앱으로 나오니 너무 좋네요 더편리하게 이용할수 있겠어요!!^^
TeriShim,4,2016-03-04,기다리던 앱입니다.,"상품 선정부터 포장, 배송 고객 서비스 모든면에서 만족스러운 컬리 앱 바로 다운 받았어요."
Vivian-mom,5,2016-03-26,마켓컬리 너무 기대되요~,지인들의 칭찬 가득한 후기에 저도 주문해봅니다~소고기 너무 궁금해요 얼른 왔으면-!!
변덩,4,2016-03-30,마켓컬리는 사랑입니다,육아에 지쳐사는 애미인데요 마켓컬리 알고 신세계에 빠졌네요! 아기데리고 오프에서 장보기 힘든데! 여긴 아주 신세계 사랑입니다 지금처럼 좋은물건 많이 판매해주세요
Yolkun,5,2016-04-15,너무너무 좋아요,저녁에 장보면 바로 아침에 받고 게다가 제품들도 다들 프리미엄급이라 믿을만하고 소량구매 가능도 너무너무 좋네요~ ^_^
Hyemi0244,5,2016-04-26,마켓컬리 너무 좋아요!,신선한재료와 지방에서는 맛볼수없는 고급진 배이커리를 컬리를 통해 만날수있어 너무 좋습니다~^^
감성변태,5,2016-12-15,자꾸 꺼져요,계속 종료되고 로그아웃 됩니다
miji0201,3,2017-05-30,최근에 속도가 느려졌어요,최근에 로딩 속도가 많이 느려졌어요.
정혠,5,2016-03-02,마켓컬리 앱,마켓컬리 앱이 나왔네요 축하축하
히싱이야,5,2016-03-02,와우,드디어 마켈컬리 앱이 출시되었네요^^ 축하해요~~쉽고빠르게 누워서 구입할수있게됬네요~~
Dananhyang,3,2016-03-02,드디어 앱출시!,기다리던 마켓컬리 앱출시! 평가할만큼 충분히 써보진 않았지만..초기라선지 느리고 불편한 부분이 있긴합니다. 하지만 좋아질거라 믿어요. 컬리니까요!!
orakling,4,2016-03-02,기다리던 마켓컬리 앱,마켓컬리에서 물건 구매할 때 마다 앱이 있으면 참 좋겠다 했는데 드디어 릴리즈 되었네요! 속도가 좀 느린감이 있지만 개선이 되겠죠~
빨리해주세요 ㅠㅜ,5,2016-03-23,성공적인 첫구매!,"앱다운로드 후 성공적인 첫구매를 하였습니다>< 다음날 7시 전에 배송된다니!! 마켓컬리, 애용할게요❤️"
